Steps_BL	Reward_BL	ener_BL	dist_BL	NumCovTargets
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
