EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	36	185	293281.14933550596	0.0	21
2	36	290	430919.8546718266	0.0	31
3	36	155	297766.6680024442	0.0	18
4	36	193	297766.6680024443	0.0	22
5	36	153	324397.3053363207	0.0	18
6	36	156	355089.749335506	0.0	18
7	36	172	333368.3426701972	0.0	20
8	36	218	288936.8680024442	0.0	24
9	36	143	306596.46800244425	0.0	17
10	36	215	337430.14933550596	0.0	24
11	36	257	288936.86800244416	0.0	28
12	36	217	382144.0986710119	0.0	24
13	36	196	310940.74933550594	0.0	22
14	36	247	351027.9426701972	0.0	27
15	36	195	319911.7866693825	0.0	22
16	36	176	359716.5053363207	0.0	20
17	36	258	346401.1866693825	0.0	28
18	36	319	386629.6173379501	0.0	34
19	36	195	355513.46133713546	0.0	22
20	36	245	293281.149335506	0.0	27
21	36	155	319911.7866693824	0.0	18
22	36	268	355230.98666938243	0.0	29
23	36	247	386347.1426701972	0.0	27
24	36	165	377517.3426701972	0.0	19
25	36	173	235816.8306685678	0.0	20
26	36	245	257961.94933550607	0.0	27
27	36	176	248849.67466775308	0.0	20
28	36	187	297766.66800244426	0.0	21
29	36	215	302110.94933550607	0.0	24
30	36	236	346401.18666938256	0.0	26
31	36	156	266791.749335506	0.0	18
32	36	143	377376.1053363207	0.0	17
33	36	135	332944.6306685677	0.0	16
34	36	175	368687.5426701972	0.0	20
35	36	131	288795.6306685678	0.0	16
36	36	153	359716.50533632067	0.0	18
37	36	196	377376.10533632064	0.0	22
38	36	258	373173.06133713544	0.0	28
39	36	204	302393.42400325893	0.0	23
40	36	267	350745.46800244425	0.0	29
41	36	289	319770.549335506	0.0	31
42	36	297	404289.21733795013	0.0	32
43	36	280	390691.42400325893	0.0	30
44	36	174	359998.98000407364	0.0	20
45	36	215	346683.66133713553	0.0	24
46	36	279	373173.06133713544	0.0	30
47	36	194	297766.6680024444	0.0	22
48	36	236	377799.8173379501	0.0	26
49	36	300	355372.224003259	0.0	32
50	36	214	373031.82400325895	0.0	24
51	36	145	355654.69867101195	0.0	17
52	36	318	337853.8613371354	0.0	34
53	36	225	289078.1053363208	0.0	25
54	36	185	329165.298671012	0.0	21
55	36	165	297907.9053363207	0.0	19
56	36	289	337853.86133713543	0.0	31
57	36	307	315567.5053363208	0.0	33
58	36	175	382002.8613371354	0.0	20
59	36	226	395459.41733795014	0.0	25
60	36	184	346683.6613371354	0.0	21
61	36	227	328882.824003259	0.0	25
62	36	257	359716.5053363207	0.0	28
63	36	236	342339.38000407367	0.0	26
64	36	203	302252.1866693825	0.0	23
65	36	164	333085.8680024443	0.0	19
66	36	197	386629.61733795016	0.0	22
67	36	154	302110.94933550595	0.0	18
68	36	247	426434.33600488835	0.0	27
69	36	235	333227.1053363207	0.0	26
70	36	330	421666.3426701972	0.0	35
71	36	235	390691.42400325893	0.0	26
72	36	236	382002.86133713543	0.0	26
73	36	173	404006.7426701971	0.0	20
74	36	342	382002.8613371354	0.0	36
75	36	226	333227.1053363207	0.0	25
76	36	299	417463.2986710119	0.0	32
77	36	164	315426.26800244424	0.0	19
78	36	186	329024.0613371354	0.0	21
79	36	235	417322.06133713544	0.0	26
80	36	249	421807.5800040736	0.0	27
81	36	151	324538.5426701972	0.0	18
82	36	277	293139.9120016296	0.0	30
83	36	236	430778.6173379501	0.0	26
84	36	237	341915.66800244426	0.0	26
85	36	248	346683.6613371355	0.0	27
86	36	216	346542.42400325893	0.0	24
87	36	235	346542.42400325893	0.0	26
88	36	342	377658.5800040737	0.0	36
89	36	269	395176.9426701971	0.0	29
90	36	247	355513.4613371354	0.0	27
91	36	216	368687.54267019714	0.0	24
92	36	142	337712.624003259	0.0	17
93	36	270	377234.86800244416	0.0	29
94	36	318	382002.86133713543	0.0	34
95	36	279	386205.9053363207	0.0	30
96	36	257	404147.98000407364	0.0	28
97	36	280	364343.26133713545	0.0	30
98	36	257	386205.9053363207	0.0	28
99	36	227	386347.1426701972	0.0	25
100	36	319	399662.4613371354	0.0	34
101	36	238	373031.8240032589	0.0	26
102	36	206	359998.9800040736	0.0	23
103	36	251	399662.4613371354	0.0	27
104	36	299	377517.34267019713	0.0	32
105	36	216	355372.224003259	0.0	24
106	36	195	368687.5426701972	0.0	22
107	36	321	386488.38000407367	0.0	34
108	36	269	417604.53600488836	0.0	29
109	36	267	359716.50533632067	0.0	29
110	36	257	355513.46133713546	0.0	28
111	36	197	404289.21733795013	0.0	22
112	36	238	395318.18000407366	0.0	26
113	36	288	350886.70533632074	0.0	31
114	36	131	373173.06133713544	0.0	16
115	36	257	381720.38666938245	0.0	28
116	36	308	310799.51200162945	0.0	33
117	36	162	244787.8680024443	0.0	19
118	36	277	391115.1360048884	0.0	30
119	36	236	359857.7426701972	0.0	26
120	36	196	403865.50533632067	0.0	22
121	36	247	435264.13600488834	0.0	27
122	36	205	368687.5426701972	0.0	23
123	36	174	319911.7866693825	0.0	20
124	36	259	377658.5800040737	0.0	28
125	36	320	350745.46800244425	0.0	34
126	36	236	350604.2306685677	0.0	26
127	36	278	324538.5426701972	0.0	30
128	36	268	435122.89867101185	0.0	29
129	36	311	439608.41733795014	0.0	33
130	36	227	297484.19333469134	0.0	25
131	36	331	399238.74933550594	0.0	35
132	36	268	404006.74267019716	0.0	29
133	36	319	350745.46800244425	0.0	34
134	36	259	337288.9120016295	0.0	28
135	36	266	368687.5426701972	0.0	29
