TS	X	Y	Direction	Line_Man	Column_Man
0	20.66423813034058	27.599546028261138	1	6	5
1	20.66423813034058	27.599546028261138	1	6.0	5.0
2	20.66423813034058	27.599546028261138	1	6.0	5.0
3	20.66423813034058	27.599546028261138	1	6.0	5.0
4	20.66423813034058	27.599546028261138	1	6.0	5.0
5	20.66423813034058	27.599546028261138	1	6.0	5.0
6	20.66423813034058	27.599546028261138	1	6.0	5.0
7	20.66423813034058	27.599546028261138	1	6.0	5.0
8	20.66423813034058	27.599546028261138	1	6.0	5.0
9	20.66423813034058	27.599546028261138	1	6.0	5.0
10	20.66423813034058	27.599546028261138	1	6.0	5.0
11	20.66423813034058	27.599546028261138	1	6.0	5.0
12	20.66423813034058	27.599546028261138	1	6.0	5.0
13	20.66423813034058	27.599546028261138	1	6.0	5.0
14	20.66423813034058	27.599546028261138	1	6.0	5.0
15	20.66423813034058	27.599546028261138	1	6.0	5.0
16	20.66423813034058	27.599546028261138	1	6.0	5.0
17	20.66423813034058	27.599546028261138	1	6.0	5.0
18	20.66423813034058	27.599546028261138	1	6.0	5.0
19	20.66423813034058	27.599546028261138	1	6.0	5.0
20	20.66423813034058	27.599546028261138	1	6.0	5.0
21	20.66423813034058	27.599546028261138	1	6.0	5.0
22	20.66423813034058	27.599546028261138	1	6.0	5.0
23	20.66423813034058	27.599546028261138	1	6.0	5.0
24	20.66423813034058	27.599546028261138	1	6.0	5.0
25	20.66423813034058	27.599546028261138	1	6.0	5.0
26	20.66423813034058	27.599546028261138	1	6.0	5.0
27	20.66423813034058	27.599546028261138	1	6.0	5.0
28	20.66423813034058	27.599546028261138	1	6.0	5.0
29	20.66423813034058	27.599546028261138	1	6.0	5.0
30	20.66423813034058	27.599546028261138	1	6.0	5.0
31	20.66423813034058	27.599546028261138	1	6.0	5.0
32	20.66423813034058	27.599546028261138	1	6.0	5.0
33	20.66423813034058	27.599546028261138	1	6.0	5.0
34	20.66423813034058	27.599546028261138	1	6.0	5.0
35	20.66423813034058	27.599546028261138	1	6.0	5.0
36	20.66423813034058	27.599546028261138	1	6.0	5.0
37	20.66423813034058	27.599546028261138	1	6.0	5.0
38	20.66423813034058	27.599546028261138	1	6.0	5.0
39	20.66423813034058	27.599546028261138	1	6.0	5.0
40	20.66423813034058	27.599546028261138	1	6.0	5.0
41	20.66423813034058	27.599546028261138	1	6.0	5.0
42	20.66423813034058	27.599546028261138	1	6.0	5.0
43	20.66423813034058	27.599546028261138	1	6.0	5.0
44	20.66423813034058	27.599546028261138	1	6.0	5.0
45	20.66423813034058	27.599546028261138	1	6.0	5.0
46	20.66423813034058	27.599546028261138	1	6.0	5.0
47	20.66423813034058	27.599546028261138	1	6.0	5.0
48	20.66423813034058	27.599546028261138	1	6.0	5.0
49	20.66423813034058	27.599546028261138	1	6.0	5.0
50	20.66423813034058	27.599546028261138	1	6.0	5.0
51	20.66423813034058	27.599546028261138	1	6.0	5.0
52	20.66423813034058	27.599546028261138	1	6.0	5.0
53	20.66423813034058	27.599546028261138	1	6.0	5.0
54	20.66423813034058	27.599546028261138	1	6.0	5.0
55	20.66423813034058	27.599546028261138	1	6.0	5.0
56	20.66423813034058	27.599546028261138	1	6.0	5.0
57	20.66423813034058	27.599546028261138	1	6.0	5.0
58	20.66423813034058	27.599546028261138	1	6.0	5.0
59	20.66423813034058	27.599546028261138	1	6.0	5.0
60	20.66423813034058	27.599546028261138	1	6.0	5.0
61	20.66423813034058	27.599546028261138	1	6.0	5.0
62	20.66423813034058	27.599546028261138	1	6.0	5.0
63	20.66423813034058	27.599546028261138	1	6.0	5.0
64	20.66423813034058	27.599546028261138	1	6.0	5.0
65	20.66423813034058	27.599546028261138	1	6.0	5.0
66	20.66423813034058	27.599546028261138	1	6.0	5.0
67	20.66423813034058	27.599546028261138	1	6.0	5.0
68	20.66423813034058	27.599546028261138	1	6.0	5.0
69	20.66423813034058	27.599546028261138	1	6.0	5.0
70	20.66423813034058	27.599546028261138	1	6.0	5.0
71	20.66423813034058	27.599546028261138	1	6.0	5.0
72	20.66423813034058	27.599546028261138	1	6.0	5.0
73	20.66423813034058	27.599546028261138	1	6.0	5.0
74	20.66423813034058	27.599546028261138	1	6.0	5.0
75	20.66423813034058	27.599546028261138	1	6.0	5.0
76	20.66423813034058	27.599546028261138	1	6.0	5.0
77	20.66423813034058	27.599546028261138	1	6.0	5.0
78	20.66423813034058	27.599546028261138	1	6.0	5.0
79	20.66423813034058	27.599546028261138	1	6.0	5.0
80	20.66423813034058	27.599546028261138	1	6.0	5.0
81	20.66423813034058	27.599546028261138	1	6.0	5.0
82	20.66423813034058	27.599546028261138	1	6.0	5.0
83	20.66423813034058	27.599546028261138	1	6.0	5.0
84	20.66423813034058	27.599546028261138	1	6.0	5.0
85	20.66423813034058	27.599546028261138	1	6.0	5.0
86	20.66423813034058	27.599546028261138	1	6.0	5.0
87	20.66423813034058	27.599546028261138	1	6.0	5.0
88	20.66423813034058	27.599546028261138	1	6.0	5.0
89	20.66423813034058	27.599546028261138	1	6.0	5.0
90	20.66423813034058	27.599546028261138	1	6.0	5.0
91	20.66423813034058	27.599546028261138	1	6.0	5.0
92	20.66423813034058	27.599546028261138	1	6.0	5.0
93	20.66423813034058	27.599546028261138	1	6.0	5.0
94	20.66423813034058	27.599546028261138	1	6.0	5.0
95	20.66423813034058	27.599546028261138	1	6.0	5.0
96	20.66423813034058	27.599546028261138	1	6.0	5.0
97	20.66423813034058	27.599546028261138	1	6.0	5.0
98	20.66423813034058	27.599546028261138	1	6.0	5.0
99	20.66423813034058	27.599546028261138	1	6.0	5.0
100	20.66423813034058	27.599546028261138	1	6.0	5.0
